"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"fpt2",16,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0208614639466712
"grad",16,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0244090150176275
"fpt1",16,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0246240763105082
"fpt2",16,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0250306878274566
"grad",16,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.0232006768088978
"fpt1",16,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.0233866188261216
"fpt2",16,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.0230955857606652
"grad",16,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0230791312415869
"fpt1",16,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0231900378892088
"fpt2",16,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0225738877523066
"grad",4,2,2000,100,1,"vcm","3",3,NA,"lm_forest",0.0277681305437934
"fpt1",4,2,2000,100,1,"vcm","3",3,NA,"lm_forest",0.0280318309644801
"fpt2",4,2,2000,100,1,"vcm","3",3,NA,"lm_forest",0.0281518922359238
"grad",4,2,2000,100,2,"vcm","3",3,NA,"lm_forest",0.0280740254126044
"fpt1",4,2,2000,100,2,"vcm","3",3,NA,"lm_forest",0.0271054009308476
"fpt2",4,2,2000,100,2,"vcm","3",3,NA,"lm_forest",0.0268118592876305
"grad",4,2,2000,100,3,"vcm","3",3,NA,"lm_forest",0.0235184703706573
"fpt1",4,2,2000,100,3,"vcm","3",3,NA,"lm_forest",0.0237104745459252
"fpt2",4,2,2000,100,3,"vcm","3",3,NA,"lm_forest",0.0236044422233106
"grad",4,2,2000,100,4,"vcm","3",3,NA,"lm_forest",0.028996512725019
"fpt1",4,2,2000,100,4,"vcm","3",3,NA,"lm_forest",0.0302685247426548
