"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta3",0.0144918300685063
"FPT",4,5,20000,100,34,"vcm","4",4,NA,"lm_forest","theta4",0.0120722337264822
"grad",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta1",0.0108724611814202
"grad",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta2",0.0164711038980468
"grad",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta3",0.0133688664488911
"grad",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta4",0.0134496916290793
"FPT",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta1",0.0109667529166489
"FPT",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta2",0.0162073737872997
"FPT",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta3",0.0133862569534094
"FPT",4,5,20000,100,35,"vcm","4",4,NA,"lm_forest","theta4",0.0125961531313159
"grad",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta1",0.013682227440023
"grad",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta2",0.0142104713852123
"grad",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta3",0.0108703653142432
"grad",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta4",0.0156984113329393
"FPT",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta1",0.0139151226314575
"FPT",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta2",0.0150203663296522
"FPT",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta3",0.0106173955762035
"FPT",4,5,20000,100,36,"vcm","4",4,NA,"lm_forest","theta4",0.0160487002294514
"grad",4,5,20000,100,37,"vcm","4",4,NA,"lm_forest","theta1",0.0117500128435738
"grad",4,5,20000,100,37,"vcm","4",4,NA,"lm_forest","theta2",0.0113189825497034
