"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00887186302838149
"FPT",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0118518062507041
"FPT",4,5,20000,100,41,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00836067789531489
"grad",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0161343416563125
"grad",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0191454340442364
"grad",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0133353502261282
"FPT",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0147650224536247
"FPT",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0175907426103369
"FPT",4,5,20000,100,42,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0135242687810634
"grad",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0200277793830486
"grad",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0104858381010133
"grad",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0102391209842073
"FPT",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0173409541761596
"FPT",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0103673525595958
"FPT",4,5,20000,100,43,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00948509797303279
"grad",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0127269680194293
"grad",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00605992634419236
"grad",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0108274603777751
"FPT",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0131650872253635
"FPT",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00610087770846339
"FPT",4,5,20000,100,44,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0102001400539025
"grad",4,5,20000,100,45,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0106678517007707
"grad",4,5,20000,100,45,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0111278721686481
"grad",4,5,20000,100,45,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0158877700066632
